,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포
31,테드TV,/channel/UC5pbeFWTPAUdKu65kBROsBg,테드TV,51,223,222,33,23,158,52
32,makeUmove,/channel/UCc0_4m8a-YtBHEcYwjEnbxw,맥큐뭅,41,128,267,14,41,174,45
33,텔론,/channel/UCl4nBkmJCDs6RR8uWldAqLA,텔론,89,241,157,38,35,179,43
34,램램TV,/channel/UCHdsNK3SJi7tI85f4XPy7zA,램램,30,220,137,26,18,99,47
35,마재TV,/channel/UC7uKMg7lPdCp4Nm1tLesihQ,액시스마이콜,69,206,217,38,29,148,67
36,군림보,/channel/UCN5oT4zGJX-_H6pE5isAEeg,군림보,59,235,105,34,15,128,44
37,연다,/channel/UCZcD2iYy55-SkEbv3tcMZrg,연다,57,252,133,44,17,181,78
38,울산큰고래 박성주,/channel/UCIchCOLwLBMD87quHlNuXjQ,울산큰고래,60,308,152,30,23,156,46
39,머독방송,/channel/UC-Zedn7a_RJyb5hUQ-aGZog,머독(인터넷 방송인),64,167,139,6,23,150,41
40,잉여맨 유튜브,/channel/UCeG0ONJtjwE20ThR5iSYdsA,잉여맨,29,354,100,52,12,100,40
41,Toycoo 토이쿠,/channel/UCHCkaI_DQoU7Tgg4CsBN5Bw,TOEIC,0,1,2,0,0,0,0
42,침착맨,/channel/UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,105,164,137,29,23,139,40
43,Lone Dragon,/channel/UC62pL2GZUeMx-gSzQmnB6gw,카라반 팰리스,0,0,0,0,0,0,0
44,괴물쥐 유튜브,/channel/UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐,81,210,111,23,19,122,36
45,개리형,/channel/UCRpdlPk671uOMiBtf5HtB3Q,개리형,49,233,134,18,23,128,45
46,압둘알리과로사,/channel/UC31ypOxFsuU3Q0OFpQzcQ3g,과로사(인터넷 방송인),83,315,165,34,27,196,74
47,돼지저금통,/channel/UCEVnzHZkNMG-XFUGomZ24cg,돼지저금통(유튜버),55,284,216,53,32,153,66
48,김왼팔,/channel/UCPI40-XQA9-GBGj2k8PPqfg,김왼팔,102,285,148,38,26,236,83
49,Cowsep,/channel/UCgzC7SsCYSfGrVWoHQS5W8A,Cowsep,35,38,231,2,20,138,28
50,눈언YT,/channel/UCt1dxdedblLX2PsSFFK0Hzw,유튜브,37,67,161,9,21,91,57
51,스페셜솔져 - 모바일FPS,/channel/UCU8zFvUOoHYB3DY5cKIiSKQ,스페셜솔져,0,0,0,0,0,0,0
52,T1,/channel/UCJprx3bX49vNl6Bcw01Cwfg,T1/리그 오브 레전드,123,273,181,30,32,113,40
53,문호준,/channel/UCeivPjjK9-cdj8-gw4-7JRg,문호준,72,218,172,35,23,171,43
54,강 지,/channel/UCIVFv8AiQLqM9oLHTixrNYw,강지,59,326,118,44,21,154,43
55,탁주 TV,/channel/UC7nVGqibbYgrzh733LDffNQ,탁주(인터넷 방송인),38,391,184,52,13,148,53
56,유키 YOUKI,/channel/UCidO_j4TWaTvUiid2WffuqA,YUKI,69,144,242,21,40,157,67
57,GCL 지씨엘,/channel/UCLuDznROytXtnMSDwo5aGJQ,GCL 지씨엘,56,163,118,25,15,131,55
58,헬로[HELLO],/channel/UCsR07Y3qMhf_oKxit4xLoHg,Hello,45,338,208,50,29,200,37
59,저라뎃 JUSTLIKETHAT,/channel/UC1dG3vI9FfHnH3YgyeKUz_A,저라뎃,94,225,198,45,47,143,52
60,코아 TV,/channel/UCdmPH-DTjL52x5K3lRvHYQw,코아(인터넷 방송인),79,318,147,44,10,174,64
61,로이조 TV,/channel/UCLJs55bZWMsCBPekt3vssoQ,로이조,24,220,42,8,20,71,2
62,유소나,/channel/UCxeWKVovE_mKNRCwAlpL87A,유소나,80,381,187,39,12,166,47
63,삼식,/channel/UCMOOio1GZ50OeJT58DGBQCA,삼식,60,342,94,45,16,155,47
64,TV대정령,/channel/UCHsK9gl5aU0F3umrU4Zn_sA,PD대정령,10,36,29,2,2,18,5
65,수탉,/channel/UCw-JzmPsjRcbzJLncr4pIIA,수탉TV,92,296,179,52,28,199,82
66,퀸톨 TV,/channel/UCiwOunGuqfKjcLIBsteAAJQ,퀸톨,19,594,68,59,13,105,51
67,퍼런안경_BLAS,/channel/UCSQkftbg2z4kz4NNBVs6CIQ,퍼런안경,56,147,327,18,42,177,65
68,Partition Zion,/channel/UCn_9mH91rLWez9SZ6AdjfYg,Partition Zion,47,35,337,7,49,225,87
69,형독방송,/channel/UCJDEss5wA1ddrCBC40giO8A,형독,71,301,171,75,24,170,65
70,서넹,/channel/UCylzl5EMsHKCMeUe2TLKLKA,서넹,31,333,87,37,10,116,25
71,Official Dopa,/channel/UCt15X5eHLwyP8PpNtQTkuDQ,도파(인터넷 방송인),108,186,217,29,27,139,50
