,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포
236,TFO,/channel/UCk5mlvpbj8CZxD229CpiouA,TFO(유튜버),9,68,63,8,5,47,15
237,윤루트,/channel/UCmJ4DkPFPzjR2TkJ7lXSQWw,윤루트,20,52,39,20,5,37,17
238,웁tv,/channel/UCnCFD3met1Ip7OngdF9TRDg,웁,5,28,12,3,6,26,6
239,메도우이헌터,/channel/UC4rp07nTMJb13faNO94lm6A,메도우이헌터,5,23,2,15,0,14,2
240,TV블루위키,/channel/UCQreDC73rqiw1wSc_ZYwgHA,블루위키,29,88,105,16,6,84,29
241,녹두로 월드,/channel/UC9vz3TBChrJmYbzUo-rqfSg,녹두로,27,69,47,12,2,52,13
242,바위골렘,/channel/UCLLGccON9y08RB7xqusu_Ww,바위골렘,0,1,2,1,0,0,0
243,런민기,/channel/UCY74n-XQJ69dxNdN7h71wLg,런민기,11,62,47,6,2,42,13
244,Awesomepiece,/channel/UC8DE6aei0DOKa1s3PziV8Aw,어썸피스,28,81,38,14,4,33,29
245,RinyTiny [리니티니],/channel/UCArr7e9zILksFPuGDq-MffA,에스와티니,0,0,0,0,0,0,0
246,피아노캣 [PianoCat],/channel/UCDyc0_OWYXI1WcaMjijHrDA,피아노캣,16,65,40,8,1,34,18
247,류으미,/channel/UCNeHPUKNUBmBMZy_rzHPzSw,류으미,18,46,45,4,5,43,21
248,홍개,/channel/UCDkQMlfo7GvgvnrkPawW9tg,홍개,17,57,38,9,8,57,16
249,신해조,/channel/UCiCNc3uj8Bnc9bDzHJS058Q,신해조,16,37,34,10,9,33,4
250,Wall Su,/channel/UC5ScPjbt-a97AJO7SBj6nAg,Wall Su,16,24,41,11,2,34,15
251,더빙레이디,/channel/UCVPTh22MstSVobuvF7zQ3Sw,더빙레이디,18,50,28,10,0,21,8
252,짬타수아,/channel/UCNoSlvimHmdOgtHOCNjj7ew,짬타수아,21,54,46,3,6,30,8
253,프리티에스더 PrettyEsther,/channel/UCkrboHEREUVOaFNbuQ2taZg,,10,150,45,20,6,32,9
254,도현,/channel/UC-Pn1i_ot4qmG4l7wMZPvyw,도현,34,64,37,15,8,53,15
255,랑말TV,/channel/UCc_7XbnN1bTFMhquCKt3ngA,중화TV,4,11,36,0,4,18,5
256,메탈킴,/channel/UCOaUB8RzbLXB7QZtCmMO-8A,메탈킴,70,196,223,44,40,183,59
257,겜스트GAMEST,/channel/UChtdyqmH0yVFWTBJERP2PKg,감스트,56,342,177,44,28,129,41
258,쌀튜브 Thal YouTube,/channel/UCoYFo-lRD3pchMUtsBcEbOA,박권혁,54,113,114,22,26,106,26
259,아빠킹,/channel/UChfs1dQ5phBDBWZJ1hHLbUA,아빠킹,86,231,129,26,37,154,42
260,김짱돌,/channel/UCsi8xzlmARKDK_ItRW8imyg,김짱돌,112,301,151,79,29,157,49
261,케인 TV,/channel/UC0aKwoKNeqBaUwiEXmkQaGQ,케인(인터넷 방송인),99,187,193,45,32,176,59
262,김뚜띠,/channel/UCTZPZo3xuW5k6RkhlVaJ0jQ,김뚜띠,41,249,110,29,14,126,27
263,스간TV,/channel/UCK1B7KLih3kE1Iy0SCBDzkQ,스간,71,292,161,101,33,148,59
264,김용녀,/channel/UCXmdpmRnf5WKMssvByY2Elg,김용녀,20,130,62,16,10,91,30
265,지컨,/channel/UC0z8bddfRBRBmEC-AjI6UXw,지컨,57,307,71,48,14,125,39
266,묘송이MyosongE,/channel/UClWTMxooQefOLUV0TRcJ1Eg,묘송이,38,221,82,45,13,128,50
267,사모장,/channel/UC4XjKgCtpwpACzUCiUKOd3Q,사모장,84,242,196,24,46,142,61
268,요롬Yorom,/channel/UCqx0Xywhh72631omzTWNixA,요롬,31,336,155,64,59,145,42
269,각폭 YouTube,/channel/UCutaHUD-Oos2EBNNEwd4QQg,각폭(유튜버),82,363,191,48,24,171,41
270,힘쎈너구리,/channel/UCADf92tisOOh90hrZee4-LA,힘쎈너구리,78,227,138,41,26,225,62
271,김리븐,/channel/UCgySwATr_UPiGqrwfRo6_ag,김리븐,83,316,161,42,26,181,55
272,카운터,/channel/UCN5Z4EkujWOl7UMbc4J-3Cw,카운터(인터넷 방송인),74,278,229,67,25,184,92
273,LOUD CAST,/channel/UCAI86CUHDIkKXGA6YpVBhYg,Loud G,45,239,125,26,10,108,34
274,SANDBOX NETWORK (샌드박스 네트워크),/channel/UCCjR2EbSnsVKRVeTvPjVWIA,샌드박스 네트워크,57,87,76,26,25,76,33
275,브론즈연합회,/channel/UC-39bqpwYeoyvm2qHfAhHiA,브론즈연합회,68,387,104,25,32,218,59
276,왈도쿤,/channel/UC-S8JFhLkQ5enhB70c2CYIw,왈도쿤,77,224,177,53,25,235,66
277,루리TV,/channel/UCo2qwN2FUPnLLJjHXNusFyQ,루리(유튜버),3,17,3,6,0,9,2
278,깝도이,/channel/UCqVkQsNin4MdGFrWvzFVOKw,깝도이,3,9,5,1,0,10,2
279,프제짱,/channel/UChD2kf1XO2sxR4t4s_oPPMA,프제짱,9,76,58,11,4,45,10
280,피큐큐,/channel/UC_jNan0EvSTUNKT2dj6U31A,피큐큐,12,71,48,4,2,41,8
281,카이바군,/channel/UCDEOj33PPDR-Hw9RxdKfjpw,카이바군,18,80,56,15,11,49,12
282,푸른 [ Pureun ],/channel/UCXrjLuKRFe1OxlR9T6uNs6w,PUREUN,0,0,0,0,0,0,0
283,Mobirix,/channel/UChs3xgH4BWAsTi-SGjECiZA,모비릭스,0,0,3,1,1,1,0
284,사과몽,/channel/UCjaoaH1tIwV6uLZHEmlQNdw,사과몽,23,129,30,18,8,42,20
285,김쵸코,/channel/UC0SsBKkmlkyNx6bo0SSAEpQ,김쵸코,8,79,22,8,4,36,9
286,타요튜브 [TAYOTUBE],/channel/UCBTsPtRCh6ln3IRQFjhjh1A,타요(인터넷 방송인),22,75,61,5,7,31,14
287,바사카네,/channel/UCy5DTlJJ3eo7I83h-IEL1KA,암바사,0,0,0,0,0,0,0
288,우왁굳의 풀업로두,/channel/UCzh4yY8rl38knH33XpNqXbQ,왁카데미,17,44,9,3,5,31,11
289,표림,/channel/UCxbxK61xeFoymuxmi4ik73g,표림,30,68,46,8,8,48,13
290,소맥거핀,/channel/UCaaZFxjlHI3T_I-uFbldIGA,소맥거핀,10,27,36,9,4,31,9
291,Draw Anything Animations,/channel/UC_ZYBT7vZOSyoyfeQraKCOw,Art's Animations,26,32,116,2,15,78,24
292,롤큐플러스 LOLQplus,/channel/UCigPeNf_uHiODmCRns_92Xw,롤큐,17,38,72,5,5,19,9
293,Mnics에투샤,/channel/UCubybnI2mstR-E24cc0rt9w,에투샤,6,23,14,4,2,16,6
294,이녕,/channel/UCLoGhS_8p-G_pzrkfgMi9NA,이녕,22,77,51,7,2,42,21
295,알짜,/channel/UC9Qsk7A_dVWZc6l1FRS8amQ,알짜,2,49,17,6,3,25,6
296,Flyerbek,/channel/UCMoQZs-z0PECNIs-b8CHOag,V3 Esports,0,0,0,0,0,0,0
297,이아린 Ahrin,/channel/UCqIYXDSU6mC_Na4b39lOIZw,이아린,8,87,28,9,4,24,4
298,흉폭한 포로 Violent Poro,/channel/UC9aEa6zVK12OZaWyTIPX9jw,포로,15,55,48,2,9,36,15
299,모드로나티 Modronati,/channel/UC9-B--tzbvBUMVkGVyCTaIQ,모드로나티,15,30,40,3,7,28,19
300,엔마유튜브,/channel/UCF-rFAdN7dzd-SI2T3rkCaQ,엔마,29,89,75,6,13,70,15
301,학살 HAKSAL,/channel/UCF7IBIvHZ2be4Ufo8i0uHBw,김효종(2000),33,128,56,16,8,37,10
302,EA SPORTS TM FIFA 온라인 4,/channel/UC9otskL_kd-0CDib_5Lj-mQ,피파 온라인 4,39,94,43,4,18,33,12
303,민또TV,/channel/UCCW6uYIUP4YKKe50k-ktVAw,민또TV,20,139,43,21,4,40,18
304,마인의 비하인드,/channel/UCzbLTaNlODXhvobAcTs4XRQ,마인의 비하인드,30,64,67,28,4,66,27
305,로빈,/channel/UCo33r3SAf5z9MS-lrXV2aOQ,로빈,8,67,40,10,4,43,6
306,오린이,/channel/UCeVVzlUnjNMFy_DVTZqZ5ZA,오린이,19,102,35,9,4,41,15
307,훈토이TV,/channel/UC3ihyjIvubiIAieg8SlmtIQ,훈토이TV,12,58,50,10,6,77,17
308,땅우양,/channel/UC9vI-9WYQLXKI6n9XdXXo3g,땅우양,9,65,33,5,7,37,18
309,별고래_StarWhale,/channel/UCD8maIontXDHmsewDbyMXDw,별고래,15,39,51,2,3,32,11
310,소니쇼게임방송,/channel/UC141BuVRzSSXJX33Am9yxEA,소니쇼,30,104,30,12,5,47,15
311,박나나,/channel/UCS3_H_feQRm4QbXipKTvSrw,박나나,33,107,61,15,7,52,29
312,Bang,/channel/UCnDcpS7XLQ9KFPqULb9TH8g,배준식,11,76,38,17,3,47,4
313,리타유튜브,/channel/UCzMAqDi4M4CrwMSi_EnnV4g,리타(인터넷 방송인),20,113,45,9,6,66,16
314,강한달,/channel/UCIqg17JWrhmYT--KZbHk3HA,강한달,64,61,49,16,19,68,18
315,소풍왔니,/channel/UC5qsXOIsLbkEIP4DI7xWOlg,나무위키:투명성 보고서/요청/소풍왔니,33,132,59,23,6,57,20
316,무협지 League of Legends,/channel/UCIA_jLpi8Tp2YM8ZTe4nD5A,League of Legends Japan League,0,0,0,0,0,0,0
317,더빙걸,/channel/UC6t1NCFKCiBUuIbM3ujRRPQ,더빙걸,8,73,25,13,8,27,11
318,나는상윤,/channel/UCozuuEEitjQXtCzubNO0BGA,권상윤,25,84,56,10,8,38,17
319,Tenha,/channel/UCOXPm9nqKtb2pIpO0UybBHA,나무위키:대문,3,2,20,0,2,8,6
320,천양,/channel/UCXOLqHsi_mxJdTIqU7B6OmQ,천양,18,65,37,1,9,33,3
321,살인마협회장,/channel/UCgWwo8FJL3MCxfd66ip7nFg,살인마협회장,22,34,21,11,8,35,14
322,EFFECT,/channel/UCcc3YwvoDF3LqfGZPZmCyhg,황현(인터넷 방송인),18,89,54,23,11,100,20
323,메이비TV,/channel/UCPITXstDqqLYbBUiAVqYjfg,메이비(인터넷 방송인),0,32,6,3,0,10,2
324,크로롱TV,/channel/UCr0oBV3TSWoHz7MX4atZ7vw,크로롱,20,129,35,20,6,32,14
325,Jin Studio 진 스튜디오,/channel/UCDk0AHutsIFLsQYhMvmkdrQ,진,15,53,71,5,9,42,25
326,서든어택,/channel/UCMJhnmKJ6xwRIFL1ZFb9QrA,서든어택,21,50,26,8,5,28,4
327,I like movies XD,/channel/UCE9Ib6JHShc7MHQ7pMwj0YQ,XD,0,0,0,0,0,0,0
328,김유진 미국변호사YOOJIN,/channel/UC_Cprc-ruVm1GS0yPvqy14w,유진(유튜버),6,75,9,12,0,4,2
329,해르시,/channel/UCwMzCpU05utIvYP7-tm08fA,해르시,19,84,57,10,6,56,7
330,코브,/channel/UCqFt6raBlXK-qJCWsTKW62A,코브(유튜버),29,51,56,5,4,61,28
331,튜나,/channel/UCyi9eZCavFN5P6GQVokRiQg,튜나,36,32,38,22,10,29,13
332,순당무,/channel/UCZW0yRW2HK7_fzgL9HQu9ZA,순당무,25,52,27,6,10,43,15
333,호진,/channel/UCZZEgBpbLP0ILVc4nGg39-w,이호진(e스포츠),21,87,50,8,6,38,9
334,피닉스박,/channel/UCZ6IM7_T-bCmr_7DgAKjYxg,피닉스박,40,73,68,15,14,48,13
335,따효니DDaHyoNi,/channel/UCFM_07Mxv6CglREk8qdkPaw,백상현,36,89,45,10,11,44,17
336,꾸몽,/channel/UCH29Gz8a6veRLqUxzjBXHrQ,꾸몽,20,99,87,9,3,67,36
337,듀단 [듀튜브],/channel/UCPd2VrGLDguFs9AckozHtrA,듀단,10,58,19,0,3,23,10
338,Ace Art 에이스 아트,/channel/UCpfY3rf_vaW6UQ2hGlqGhIQ,에이스,11,87,51,22,1,57,26
339,게임토리,/channel/UCA57VZoIKNqjaBjokHPZbtg,토리,27,78,47,15,4,55,14
340,실프,/channel/UCWOPxkftlmCstC5drb9VM_A,실프(인터넷 방송인),33,92,56,7,1,50,15
341,택신TV [BISUTUBE],/channel/UCBa9U1nh3fe2lBx3a0R0Skg,김택용,22,82,59,7,9,50,16
342,잡초,/channel/UCSWLx_GQlGADYipEyXF2Mxg,잡초,22,99,47,18,6,43,18
343,고누리,/channel/UCs0P4GrXEumyYn-d8ASrGlA,고누리,26,45,29,10,7,30,13
344,온다람,/channel/UC3LNd5iXQZ8WinaOpfwXveA,온다람,16,47,30,14,7,43,20
345,모두의마블 TV,/channel/UCc5al0BciX358Rg9YXk1LBg,모두의마블 TV,16,9,18,10,7,17,5
346,조우,/channel/UCpXnb06Y0uc6ewEf3WL4wDQ,조우(유튜버),23,65,47,10,5,44,26
347,금똥왁왁,/channel/UCt4wd8jZFvFjrHy6EXLrmVw,금똥왁왁,16,52,43,7,16,39,12
348,Revinen,/channel/UCVszhXaoqB7Ekx1coEU6PzA,Revinen,5,10,65,3,8,40,11
349,TV용느님,/channel/UCbHN1sTuPySKpnqKSp0JHRQ,용느,36,88,39,13,8,34,7
350,Google Play Korea,/channel/UC8C0Yd20ke5XqOiZvMVgM9w,Google Play,9,103,52,5,24,28,6
351,무릎의 철권TV TekkenKnee,/channel/UC0Zl_lyMoTbroBSNv7SpGuQ,배재민,11,91,61,6,1,39,10
352,옙가,/channel/UCcwEXGl8tRJTJ78WBPa7dUA,와나나,4,6,16,1,1,9,3
353,닥터준 YouTube,/channel/UCOY3LbxXxCd8SykBvcVJlzg,닥터준,16,51,46,17,7,30,5
354,Wolf,/channel/UCYJ0Ucu9jPX5kn6SeDcNaIQ,이재완,27,47,45,12,7,36,13
355,[KongAlTube]콩알튜브,/channel/UCDqkO1FZXchBTGtsm7uO8jw,보람튜브,11,86,64,20,8,82,34
356,Rush,/channel/UCkV_ZgwCFlAvUIu4k0UBBaQ,이윤재(프로게이머),2,9,11,3,5,18,4
357,단미호유튜브,/channel/UCy5OjPJk87YCHNgd3qg2N9A,단미호,4,87,30,31,2,23,7
358,펭귄몬스터,/channel/UCqcxF7BAF3GSz36Yx_0qGaQ,펭귄몬스터,34,64,45,11,8,28,17
359,전쓰트의 게임 채널 Junsst,/channel/UCD8r5Jgns2V64-NcUmXclpg,전쓰트,22,61,45,11,17,32,16
360,라더,/channel/UCDujSmC7qoEp89PE4ANN0vA,라더,0,5,2,2,1,7,3
361,체험판의컴퓨터채널Trialversion,/channel/UCeSnJtdf_dgvFqtK1PpxygA,체험판의 컴퓨터 채널,12,11,28,8,4,14,7
362,Rope로페,/channel/UCAtwdcmAFuTeK_nQ-wxGW0w,로페,12,76,74,8,20,64,16
363,이서니,/channel/UCcL8PoeJCC6DwAcKyzw_eQg,이서니,19,52,32,10,7,28,7
364,알로직,/channel/UCd4vEfDwg_kzVI-9Eq8sPHA,알로직,13,31,14,3,10,20,5
365,쉐리,/channel/UClDbuB3bgZYVIaN3534c_ew,쉐리(인터넷 방송인),3,20,17,3,5,20,3
366,노란 단무지,/channel/UCLGFyHp-wUhKrmNJBWZg75A,노란 단무지,18,40,35,8,6,39,19
367,PAKA,/channel/UCJpAwvQaZyCI5spAz7tipGA,PAKA,34,118,69,24,4,52,20
368,구스마일,/channel/UCpVLAetJt6_XjktxxhDUY2w,구스마일,15,74,58,23,7,50,21
369,중년게이머 김실장,/channel/UCSgvQDek_7CQj08fu7kp1Iw,중년게이머 김실장,15,47,32,9,0,28,9
370,왕군게임국,/channel/UCqONn4EbAYzIVEGAoQxmZUA,왕군게임국,22,96,55,18,6,63,16
371,화틱,/channel/UC2b9TmgJ-jZt8ZAKF4DwIWg,화틱,22,28,28,7,4,23,12
372,말괄량이 박삐삐,/channel/UC1ig0B3mPPXViUMTN5Hm-Ig,박삐삐,9,122,24,17,3,19,12
373,디스 이즈 샤이,/channel/UCBo3r_IAd1EiFGe1x7GgTLw,박상면(프로게이머),22,115,62,15,1,45,20
374,코렛트YouTube,/channel/UCvmHDocKuL6MVx1qRgqLV9g,코렛트(인터넷 방송인),19,50,29,2,6,43,13
375,최군TV [무삭제 풀영상],/channel/UCwGeidQWKEMdFIujQrz37qw,최군,6,39,13,2,3,21,2
376,똘끼100%,/channel/UCybKp0O2N9sUZOgIm1j2r_w,인범,7,10,5,2,3,3,2
377,게렌의 게임극장,/channel/UCUEX0L7GHPs95m8S7G6kWVA,게렌(인터넷 방송인),11,81,35,19,5,33,12
378,ryujehong,/channel/UCtt0Hg9MhraTkzWwNQpplHg,류제홍,32,86,31,7,5,50,7
379,홀릿 Youtube Holit,/channel/UCoH2pCzAr6zWDG-LtUiLWRw,홀릿(유튜버),23,64,56,16,6,61,24
380,_헤징,/channel/UCj38fEefpih2o1aHH886Z1g,헤징,24,102,47,19,3,50,25
381,넷마블 TV,/channel/UCpYaDypxUY_bB6s23sfpuMg,넷마블 TV,4,6,6,0,0,3,1
382,꼬예유 & 한예찬의 게임저장소,/channel/UCJoWNCiFuiN4eZnB80WUf4Q,한예찬,10,122,93,13,16,60,27
383,삐라,/channel/UCw2zOqd6hXsny79qDki_Z4w,삐라,31,101,51,7,12,59,17
384,마뫄,/channel/UCgEo04TieA9BEmiDOhYQUGw,마뫄,34,105,33,16,5,33,16
385,KD키드,/channel/UC98Dw7oYrXnoXCfhxgffzRA,KD키드,11,77,56,20,10,39,14
386,삐부찡,/channel/UCWbbrLELoBRo-8KG1D9m4HQ,삐부,22,45,30,11,5,35,8
387,LOL PRO Replays,/channel/UCYX9IB_lU43EenSWKDlheUg,2020 League of Legends Pro League Summer,0,0,0,0,0,0,0
388,Mudassar Saddique,/channel/UC_qgWkLIbwXA8YGWTbjSN3g,나무위키:대문,14,15,99,0,1,22,13
389,전자오랏맨,/channel/UCkcaRxpTcisadUeCbHOYTFw,전자오랏맨,27,71,63,24,8,57,15
390,G-ZONE 게임은지원,/channel/UC9iXc6HmaGygDiTj5OaNqNg,은지원,16,174,57,16,3,10,7
391,이춘향,/channel/UCH-5Xjx6MuEySkb-lAdIEeg,이춘향(인터넷 방송인),17,116,25,9,3,44,10
392,369랑께,/channel/UCVjAW_GXsPAbXKKEJYPBs0g,369랑께,29,36,81,5,4,28,5
393,개리유튜브,/channel/UCN8nXvaYJSqeD0wlwsVq2kQ,개리(인터넷 방송인),24,77,45,22,6,53,7
394,장파Jang Pa,/channel/UC8vlKcN5OpklBkb-Q2xGGjA,장파(인터넷 방송인),8,55,37,4,2,36,7
395,롤큐이슈 LOLQissue,/channel/UCyqwhqket92QYbSALAV7oXQ,롤큐,23,30,35,9,9,14,14
396,해봄,/channel/UCL9oC0YZRwuyudZqUrgKw9w,해봄,6,60,15,5,2,26,9
397,나무늘보,/channel/UCXAXCxTCCYYKsLJNzEvjqfw,나무늘보,23,39,39,11,5,26,19
398,지존조세,/channel/UCQOL6_MBCFXr3M9OTmwl9pg,지존조세,39,63,82,13,13,59,25
399,애덕 유튜브,/channel/UCSCogaMMoxrDe43Cx_kB9cQ,애덕,9,51,25,11,1,30,13
400,JeongWon Entertainment,/channel/UCu07k1hkdNzxLR2uc2-nYVQ,원철,0,0,0,0,0,0,0
401,오하빵 ohhabbang,/channel/UCnPJ_Jcl-dwFuGgqhavB8oA,오하영,0,0,0,0,0,0,0
402,찌훈,/channel/UCzlnXVYyIG38fUrMBGOpc3w,찌훈,0,0,0,0,0,0,0
403,더헬TheHell,/channel/UCRTRG3sr8my7ONpSQNruU2A,더헬,0,0,0,0,0,0,0
404,Gong re,/channel/UCl6gx0iQ-VvwhJu0r1FndTQ,Re:Re:,0,0,0,0,0,0,0
405,급식게임즈,/channel/UCCWHOI_Xth7mINE98Nprz6A,급식왕 & 급식걸즈,0,0,0,0,0,0,0
406,쿠키런,/channel/UCr-Eaw_CBpAqKHbzV_GidQQ,쿠키런/쿠키,0,0,0,0,0,0,0
407,쪼낙 JJONAK,/channel/UCeq0Nrch5KY3VrZyn_BB32g,방성현,0,0,0,0,0,0,0
408,제동TV[ JaeDongTV ] 이제동,/channel/UCOp9K7CjksKsve6CkNPzUWg,이제동,0,0,0,0,0,0,0
409,모마님,/channel/UCouZRGq24QaCvFlslu9uD9w,모마님,0,0,0,0,0,0,0
410,Yh Ha Figure maker,/channel/UCSsdK8cdN9hn3FS0mTf8iFA,YH 사건,0,0,0,0,0,0,0
411,HOWCOW uuu,/channel/UCInT34AJQaNyQ1V1PTEpv7w,HOWCOW uuu,0,0,0,0,0,0,0
412,Roblox - 한국,/channel/UCXM-GWvgXxj8V_Q_o1B4zyQ,Roblox - 한국,0,0,0,0,0,0,0
413,원창연 WonChangYeon,/channel/UC1FK8EsrPHHVOvrDvctqpbQ,원창연,0,0,0,0,0,0,0
414,Youtube고차비,/channel/UCjZy8afeI-58sPLgJIOmecg,고차비,0,0,0,0,0,0,0
415,개인팟,/channel/UCIBoeAMqlic3emU6_crV9Vw,개인팟,0,0,0,0,0,0,0
416,AfreecaTV eSports,/channel/UCK5eBtuoj_HkdXKHNmBLAXg,Afreeca Freecs/리그 오브 레전드,0,0,0,0,0,0,0
417,최고기 ENTJ,/channel/UCZgI5WTYh_1LWNexiHNH7QQ,ENTJ,0,0,0,0,0,0,0
418,왓구홍길동,/channel/UC9aktiWNGpSJKLshflga5yw,왓구홍길동,0,0,0,0,0,0,0
419,쿠리파파 스튜디오KooriPapa Studios,/channel/UCvjevfcEcO4JXSe3SgMYbGA,쿠리(유튜버),0,0,0,0,0,0,0
420,쌍튜브,/channel/UCvG7coejM6UD_rOnuDdIoFw,쌍베,0,0,0,0,0,0,0
421,Mulpan,/channel/UCDBg2guHN1JanH7QP7i2dQQ,Mulpan,0,0,0,0,0,0,0
422,안산저격수 ANS,/channel/UC7g2JNSc0SefzMTyc--Nn4w,이선창,0,0,0,0,0,0,0
423,다다토이 DADA Toy,/channel/UC4pIb-g1hjtWK6T98UqeQkQ,다다스튜디오 DADA Studio,0,0,0,0,0,0,0
424,수진이,/channel/UCmu_ekYHVR0vjmpyQZp8YwA,수진이,0,0,0,0,0,0,0
425,넥슨 YouTube,/channel/UCZcyI32yv57Zz0Y8-Nr1V9A,넥슨,0,0,0,0,0,0,0
426,임준하,/channel/UC0iAObTgKlFipjqApv0nJlw,임준하,0,0,0,0,0,0,0
427,배틀그라운드 ? PLAYERUNKNOWN'S BATTLEGROUNDS,/channel/UCms8Ge7H1ZGgw6nV94fUhUQ,PLAYERUNKNOWN'S BATTLEGROUNDS,0,0,0,0,0,0,0
428,CheritzTeam,/channel/UClcACsSYAi97Ka_QxX72JAA,수상한 메신저,0,0,0,0,0,0,0
429,HAK,/channel/UCMjsi-Xrmyv9vlN-92QySvQ,hack,0,0,0,0,0,0,0
430,금사향,/channel/UC1eIASyCXzaeOuBbGOubI9g,금사향(인터넷 방송인),0,0,0,0,0,0,0
431,sum,/channel/UCQknKKnwlpzDS7bjMULUjcg,sum,0,0,0,0,0,0,0
432,인벤,/channel/UCQePzo3_oRB-6RAzBioc6pg,인벤,0,0,0,0,0,0,0
433,Toon Tube,/channel/UCIJBt-DqtODaUKGKI5H01fg,배틀토이,0,0,0,0,0,0,0
434,마일드참치,/channel/UCtNQtlVDw79Sdxvm08Egk0w,마일드참치(유튜버),0,0,0,0,0,0,0
435,정리전문 [웃키키],/channel/UCn8P2mOrwb7BNMRviAFg6DQ,정리전문 [웃키키],0,0,0,0,0,0,0
436,배그TV,/channel/UCb7DiMpyCaKjMM04Eo2qyfw,재민TV,0,0,0,0,0,0,0
437,오버워치Player,/channel/UCeZZ5LAX3as-CPv-Bj3hPdQ,오버워치Player,0,0,0,0,0,0,0
438,킴스맨KIMSMAN INDUSTRY,/channel/UCixaWz4xXA_mJg8UhOZ6hkQ,킴스맨,0,0,0,0,0,0,0
439,MarioPartyGames,/channel/UCGGPa08De2KNGSaiPPokePA,,0,0,0,0,0,0,0
440,나나양,/channel/UC2z7Vj0qpcjIsAEHwOE1-NA,나나양,0,0,0,0,0,0,0
441,비엠TV,/channel/UC50HiPRDIXQMcB9orOdlbaQ,비엠(유튜버),0,0,0,0,0,0,0
442,연두의 일상채널,/channel/UCFRDmLQJItqvkfFFfuTGGVg,연두(인터넷 방송인),0,0,0,0,0,0,0
443,핸팝,/channel/UCfSy6hLYDteGVYb5h_Z2xkQ,핸팝,0,0,0,0,0,0,0
444,DRX,/channel/UC5WN-znPsJK0BbA8aHxZHWQ,DRX/리그 오브 레전드,0,0,0,0,0,0,0
445,탕카페TV,/channel/UCz1lALRICSdUzHRjJVVo9NQ,탕카페,0,0,0,0,0,0,0
446,김성룡 바둑랩,/channel/UCfA0tTDLNooBB0ymdoI5M7w,김성룡(바둑기사)/김성룡 바둑랩,0,0,0,0,0,0,0
447,새상놀이터,/channel/UCJ9Mk-2MwdoS_zMKgkdVUNw,새상놀이터,0,0,0,0,0,0,0
448,망개,/channel/UCNKam43W5s-LfRMKcd9Jg5Q,망개(인터넷 방송인),0,0,0,0,0,0,0
449,하지니지,/channel/UCFIUgqzzNjCvarzIqCE89cA,Nizi Project,0,0,0,0,0,0,0
450,PlayersCUT,/channel/UCD4_2dTl0ORuzuv75tDom_g,김혜성(성우),0,0,0,0,0,0,0
451,LookSam,/channel/UCQLfdihF1WwbuVcgJq6x6Iw,김진효,0,0,0,0,0,0,0
452,TV벵골,/channel/UC4gnNZCL8d6Eq2lLNqk5aSg,TV벵골,0,0,0,0,0,0,0
453,Yoorop,/channel/UCUJtmHHXN4BGT3zyE0o1j0Q,,0,0,0,0,0,0,0
454,조탁구TV,/channel/UC_5H4MxUOOtppCGjpVl3XPg,조탁구,0,0,0,0,0,0,0
455,BLIZZARDKOREA,/channel/UCEOoYEH7uLJ0Ux566Hy3XmQ,디아블로 이모탈,0,0,0,0,0,0,0
456,임아니,/channel/UCeHFCfPMbmQUuypVtXrpnTw,임아니,0,0,0,0,0,0,0
457,AliasMuse,/channel/UCiAK_U-vD5zcL8Bh9sberCw,AliasMuse,0,0,0,0,0,0,0
458,김도랜드,/channel/UC2_VPutZK0o_tG8ca_QrQRA,김도,0,0,0,0,0,0,0
459,부멘 Bumen,/channel/UC-97DBrSjf37Qu1cyVQ8X1A,부멘,0,0,0,0,0,0,0
460,아론 페이지,/channel/UCDbOXmGL7EkmOcnUb5Kki4A,아론 페이지,0,0,0,0,0,0,0
461,세드TV,/channel/UCMo4MnhHhSDkiUIXS6dytTQ,세드TV,0,0,0,0,0,0,0
462,마루에몽,/channel/UCLWXraxoi58otTHcWa9LZhQ,마루에몽,0,0,0,0,0,0,0
463,ShiningStar,/channel/UCde-B1KjFgIb9WGsSdT5wqQ,샤이닝 스타(애니메이션),0,0,0,0,0,0,0
464,철구 풀영상,/channel/UCPuQ0kaW-TX_2LgrEEUl7qQ,철구(인터넷 방송인),0,0,0,0,0,0,0
465,코시TV,/channel/UC7uEw7E1-NBpJwE5L2Amoyg,코시(인터넷 방송인),0,0,0,0,0,0,0
466,심킹,/channel/UCDYdwDXhbVZXkdV6kZn-0IQ,플루톤(원피스),0,0,0,0,0,0,0
467,하얀귤,/channel/UCLXSj8Q2mnL2XbBgRdTPiMQ,하얀귤,0,0,0,0,0,0,0
468,모잉_,/channel/UCHzre37UF4o64HRhp-7CDzQ,모잉,0,0,0,0,0,0,0
469,취한무드등,/channel/UCxM_h0LDzNU0XVD8YWCb17A,취한무드등,0,0,0,0,0,0,0
470,뽀박사 뽀쪽 Dr Joon,/channel/UC0hI0RUHrjCCskDMnMBnzFQ,뽀쪽뽀쪽,0,0,0,0,0,0,0
471,앤새ANDSADLY,/channel/UCZQvXBMUT7ZMM5i9w9ZFp_Q,앤새ANDSADLY,0,0,0,0,0,0,0
472,뉴리키,/channel/UCtsaNMRUmgwxMSb7xdpzALA,뉴리키,0,0,0,0,0,0,0
