,Channel_ID,probit
69,/channel/UCJDEss5wA1ddrCBC40giO8A,0.0001
70,/channel/UCylzl5EMsHKCMeUe2TLKLKA,0.0034
71,/channel/UCt15X5eHLwyP8PpNtQTkuDQ,0.0006
73,/channel/UCw1DsweY9b2AKGjV4kGJP1A,0.0
74,/channel/UCoHsxU1eDWHom6D7Fce6kLA,0.499
75,/channel/UCZ0bi2aVJngKLwFTU5g_fLQ,0.1296
76,/channel/UCAJAJ9bAvfjFLRrsqeumJIA,0.0001
77,/channel/UCgjaQlejpAnIu0q-xtVfTEw,0.0
80,/channel/UCnQRkIhRmXrxGrK4-8n-lVw,0.0001
81,/channel/UCL_IvtOZo6sONpiydbzzHpA,0.0
82,/channel/UCXZaTqDKXHmNfKZ1ywhxe0w,0.7139
83,/channel/UCKDkGnyeib7mcU7LdD3x0jQ,0.0005
84,/channel/UCb5NLtXAsTBrmaZVhyFa-Wg,0.0001
85,/channel/UCugNO83_V7xZLzCsjpABGeg,0.0
86,/channel/UCbLispC1ydHSC_69kjZI6hw,0.0012
87,/channel/UCZ-UuK86Bk5sGzQQ2cEglJQ,0.0
88,/channel/UCAJ-meoCh1TrPZ7La3UpPrw,0.4959
90,/channel/UCldBBBC3KowWN7ScJRQlZyg,0.1422
93,/channel/UCDrAR1OWC2MD4s0JLetN0MA,0.0
96,/channel/UC1MO5uem_t8lRgvIBF9u83w,0.4901
99,/channel/UCBvkQFBskQR9NeOoDYR8ckA,0.0003
101,/channel/UC1q4Ihlv_YhLELw-ijE0Diw,0.3284
103,/channel/UCHqvLC2ilL2M4_SpoFiWtuQ,0.0001
104,/channel/UClsIn5fbUo2pSJN_3lhnDag,0.0001
105,/channel/UCj1dw4G9v09OLXIxiL_VUEA,0.0002
106,/channel/UCCA8UWUW80iHqK9ymdjRwPg,0.4334
107,/channel/UCyHvSKT_bLDYpkv1JjjsLAg,0.8629
108,/channel/UCfnMSbA2Bfi4cnuuN2pa0HA,0.0001
109,/channel/UCUsrcN6Vtqr05ibbow_rnBw,0.0001
110,/channel/UCC4QcwDnXG5poPg__kD4YmQ,0.0149
111,/channel/UConOmISJY0oZHRhWGyvdQ2A,0.5204
112,/channel/UCrLxiPkgUEEnItqryMFVG2g,0.0
114,/channel/UCM9m5BHwm-lU7tK07co3ClA,0.0
115,/channel/UCcdlIcleb4oIK6of1ugSJ7w,0.3334
116,/channel/UCTSaxXnhUcrhv984bVpDr6Q,0.0043
117,/channel/UC2uID-rcbLMi3RxZmZtwSZg,0.0
120,/channel/UCIhfL5TX-FODmWcX2k1uWHg,0.0354
121,/channel/UCnxOGZwppMFnMYS-eUJtwXw,0.0001
122,/channel/UCR0aLp4aIvxS07g6rGWZr_g,0.0001
123,/channel/UCUR5w0E-jQTOO8Q0FZ4ilYQ,0.004
125,/channel/UCrhgVHA_uAiT9BoGV9qRKvg,0.0
128,/channel/UCO5bdxKgKczSpjFbfsGykmA,0.1748
129,/channel/UClSuqiIAACDUJrH3gb4JcLQ,0.0
130,/channel/UC2MgNh831KCMuYkK7u8C2dg,0.0
131,/channel/UC2FDVyrQnjoZCUyk9fmqd9g,0.0
136,/channel/UCqIwPYLfMd3EoWYwvyTjPnA,0.9978
137,/channel/UCj9LQu5-mfrf6imcyrnZfug,0.0002
138,/channel/UCz1Gc37nWsdF_jbJ_SvMl4g,0.9959
139,/channel/UCobtktl5cCEYuAKLSY0vc2w,0.3331
141,/channel/UC75lZzaXiCn0EYTwg9MB5vg,0.0
144,/channel/UCfIUuMA7U_jImP7oWfTe4Pw,0.0031
148,/channel/UC5gp0nGTdJ56YKzI40v0cRg,0.0002
149,/channel/UCJ7PxHj3J_YeH1N2spjR6NQ,0.2332
150,/channel/UCmP6N0_CMbMUYwQRaPoFyng,0.0001
151,/channel/UCLHwMFguUxHVSk91vzicEJw,0.5008
152,/channel/UCilYpdgaNbW8x8_E83vomNw,0.0
154,/channel/UCQgu0whGhuJ2Hr8u6htgxxw,0.4998
155,/channel/UCYtNOIg99pgGcrE4Uo44OdQ,0.0127
156,/channel/UCYP2aGg8h_9JHqNQBHNKp7w,0.0
157,/channel/UCbt557PsOnMaspiSUjuSVVw,0.0004
158,/channel/UC73j3rtkjb3qCvC7XZidzmw,0.0
160,/channel/UCQ9eDVhFn_jq7eTpjf21ouA,0.9969
162,/channel/UCFMzJRPsLOL17lwxN_MdcnA,0.0002
165,/channel/UCj1RW5MrOLh_VrX3yHF_yow,0.0001
166,/channel/UCRY0vKmqFmQ4XCJomWMBf-w,0.0
167,/channel/UCOtcE3XmueVr78j8RCnr1QQ,0.0001
170,/channel/UCmcd3r7AsHjm3deMgx1ZPiw,0.5004
171,/channel/UCkiCNZ6c5Th3NpL2U8IhUWw,0.0007
172,/channel/UC9ta639M37zzWKwo7kKc80A,0.0003
174,/channel/UCgT2gPsXQ0jqb3poL5wN31Q,0.0002
176,/channel/UC_VOIxjBN_WIPKxpPs1omZQ,0.5609
177,/channel/UCdtV_sB8WUWo-P_q3OwNfcw,0.0
178,/channel/UCSWMuYooxYPorJSumJbLzCQ,0.0258
179,/channel/UCb0eyf03Jz8Q5j2q65TzCoA,0.6658
