,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포,총합,혐비,행비,중비,슬비,분비,놀비,공비
282,푸른 [ Pureun ],/channel/UCXrjLuKRFe1OxlR9T6uNs6w,PUREUN,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
287,바사카네,/channel/UCy5DTlJJ3eo7I83h-IEL1KA,암바사,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
296,Flyerbek,/channel/UCMoQZs-z0PECNIs-b8CHOag,V3 Esports,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
316,무협지 League of Legends,/channel/UCIA_jLpi8Tp2YM8ZTe4nD5A,League of Legends Japan League,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
327,I like movies XD,/channel/UCE9Ib6JHShc7MHQ7pMwj0YQ,XD,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
387,LOL PRO Replays,/channel/UCYX9IB_lU43EenSWKDlheUg,2020 League of Legends Pro League Summer,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
400,JeongWon Entertainment,/channel/UCu07k1hkdNzxLR2uc2-nYVQ,원철,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
401,오하빵 ohhabbang,/channel/UCnPJ_Jcl-dwFuGgqhavB8oA,오하영,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
402,찌훈,/channel/UCzlnXVYyIG38fUrMBGOpc3w,찌훈,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
403,더헬TheHell,/channel/UCRTRG3sr8my7ONpSQNruU2A,더헬,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
